application_id,name,url,phone
2199,增材制造,http://106.74.152.35:10484/,17585575583
2035,贵州省民爆行业双控体系平台,http://106.74.152.35:10920,17585575583
2786,MediaWiki,http://106.74.152.35:11261,18712346670
1885,票据管家,http://106.74.152.35:11271/pj/,18964721269
2008,智慧水务一体化管控平台,http://106.74.152.35:11428/login,15829362363
3246,SonarQube,http://106.74.152.35:11784/about,13161122540
3081,Mattermost,http://106.74.152.35:12037/login,18712346670
2760,FlexWeaver,http://106.74.152.35:12112,15170981331
1286,智慧巡检,http://106.74.152.35:12676/,13311060860
2257,oa_system,http://106.74.152.35:12747,18610500052
2663,Zeppelin,http://106.74.152.35:13048/#/,18645033729
2565,设备连接平台,http://106.74.152.35:13310/mes/backend/web/index.php,13512788604
1557,德客易采--供应链采购协同管理云,http://106.74.152.35:13333/oauth/saas/auth,18915762960
2454,工业知识百科,http://106.74.152.35:14219/1/pediaportal,
1336,泛工业领域知识图谱服务,http://106.74.152.35:14341,13661350943
2519,工业互联网金融,http://106.74.152.35:14490/,17585575583
2770,october-内容管理,http://106.74.152.35:14693/backend,13121933909
3318,全员设备维护管理系统TPM,http://106.74.152.35:14729,18696695542
2771,"GNU Octave",http://106.74.152.35:15329/,13161122540
3608,互联网数据采集与分析系统,http://106.74.152.35:15460/index.php?s=/Admin/Index/index,17585575583
1479,力控能效管理软件平台,http://106.74.152.35:15490/mes/platform/login.jsp,18910695903
3626,帆软BI,http://106.74.152.35:16200/webroot/decision/,
2644,"Kiwi IRC",http://106.74.152.35:16574/,18810241820
1865,优道互联,http://106.74.152.35:17425/login,13128240844
2315,tms,http://106.74.152.35:18230,18610500052
2020,区域工业互联网平台,http://106.74.152.35:18883,17585575583
2789,Superset,http://106.74.152.35:18902/login/,18712346670
2987,贵州工业云众包平台,http://106.74.152.35:19540/,17585575583
2743,ML-Workpace,http://106.74.152.35:19727/,13161122540
2621,DokuWiki,http://106.74.152.45:10436/doku.php?id=start,18712346670
1358,KMCloud,http://106.74.152.45:10461/kmwp_server/,18672301109
1359,actionview,http://106.74.152.45:11077/,18712346670
2058,贵州省工业产品目录,http://106.74.152.45:11082,17585575583
2633,jupyter,http://106.74.152.45:11524/login?next=%2Ftree%3F,18645033729
2620,WordPress,http://106.74.152.45:12060/wp-login.php,18712346670
2208,"Rapid Scada",http://106.74.152.45:13101/scada/,18645033729
1657,database-dictionary,http://106.74.152.45:13262/,17526603992
2520,贵州满堂红物流管理系统,http://106.74.152.45:13914/,17585575583
2563,"Apache NiFi",http://106.74.152.45:14514/nifi/,18810241820
2472,工业网站安全监测,http://106.74.152.45:15318,13261517125
3281,Cowyo,http://106.74.152.45:15738/CentesimalCalf/edit,13161122540
1180,华云ERP,http://106.74.152.45:15746,18500623213
1630,"文档管理系统 Mayan EDMS",http://106.74.152.45:15758/authentication/login/?next=/,15801400925
3393,快逸报表,http://106.74.152.45:17391/reportmis/mis2/index.jsp,13702103465
1225,皕杰报表,http://106.74.152.45:17502/iface/,18801169373
2060,力控WMS仓储管理系统,http://106.74.152.45:17586/,18684750314
3286,Sourcegraph,http://106.74.152.45:18174/site-admin/init,13161122540
1989,Scada-LTS,http://106.74.152.45:19329/ScadaBR/,18645033729
3625,帆软报表,http://106.74.152.45:19685/webroot/decision/,
3542,iGST工艺分析协同平台,http://106.74.18.31:8088/,13008806660
3591,智能云拆单平台,http://106.74.18.33:33333,18078800023
2628,综合能源规划设计诊断评估管理平台,http://115.231.73.208:8090/,18709517192
3022,"MASTER MES",http://119.23.45.252:9009/views/user/login.html,18520139696
